id_cliente,nombre,apellidos,sexo,edad,ciudad,provincia,codigo_postal,fecha_alta,socio,tipo_cliente
1,Álvaro,Castro Navarro,Mujer,24,Valencia,Valencia,35314,2023-04-25,False,Normal
2,Miguel,Martín Sánchez,Mujer,40,Santander,Cantabria,49225,2022-01-22,False,Ocasional
3,Elena,Romero Ortega,Mujer,61,Alicante,Alicante,23449,2023-11-14,True,Normal
4,María,Romero Pérez,Hombre,49,Salamanca,Salamanca,18478,2024-06-24,True,Normal
5,Alejandro,Jiménez Castro,Mujer,28,Logroño,La Rioja,36179,2022-11-16,True,Frecuente
6,Daniel,Jiménez Sánchez,Mujer,39,Málaga,Málaga,52769,2022-05-06,True,Frecuente
7,Claudia,Ruiz López,Hombre,39,Zaragoza,Zaragoza,47881,2022-10-04,False,Frecuente
8,Javier,Ortega García,Mujer,60,Alicante,Alicante,26338,2022-07-13,True,Ocasional
9,Claudia,Jiménez Pérez,Hombre,42,Gijón,Asturias,27899,2023-11-27,True,Normal
10,David,López Romero,Mujer,39,Madrid,Madrid,05145,2022-02-26,True,Normal
11,Carmen,Ortega Fernández,Mujer,45,Murcia,Murcia,33101,2022-01-19,False,Frecuente
12,Marta,Díaz López,Mujer,46,Murcia,Murcia,03775,2022-09-21,False,Ocasional
13,Pablo,Pérez Torres,Hombre,30,Barcelona,Barcelona,46961,2024-03-04,False,Ocasional
14,Sergio,Fernández Moreno,Mujer,35,Valencia,Valencia,32647,2022-04-23,True,Normal
15,Laura,Gómez Vázquez,Mujer,19,Santander,Cantabria,46619,2023-06-26,False,Frecuente
16,Carlos,Vázquez Romero,Mujer,46,Sevilla,Sevilla,46838,2023-10-09,False,Frecuente
17,Jorge,Fernández Moreno,Hombre,38,Bilbao,Bizkaia,20539,2023-08-02,False,Normal
18,Lucía,Torres Navarro,Hombre,32,Madrid,Madrid,37738,2024-12-24,False,Normal
19,Andrea,Díaz Martín,Mujer,69,Valencia,Valencia,27616,2022-01-25,True,Normal
20,Iván,Moreno Álvarez,Hombre,44,A Coruña,A Coruña,15119,2022-01-01,False,Normal
21,Pablo,Castro Torres,Mujer,67,Barcelona,Barcelona,26159,2024-06-29,False,Normal
22,Claudia,Gómez Martín,Mujer,48,Sevilla,Sevilla,38099,2022-05-21,True,Frecuente
23,Laura,Ortega Romero,Mujer,32,Bilbao,Bizkaia,11295,2023-10-10,True,Normal
24,Rubén,Pérez Álvarez,Mujer,68,Logroño,La Rioja,35710,2022-07-07,False,Normal
25,Iván,García Vázquez,Mujer,40,A Coruña,A Coruña,25685,2022-07-20,True,Normal
26,María,Torres Ortega,Mujer,41,Santander,Cantabria,50343,2022-09-14,True,Normal
27,Álvaro,Díaz Gómez,Mujer,61,Burgos,Burgos,26479,2023-07-01,False,Frecuente
28,María,Vázquez López,Hombre,30,Santander,Cantabria,47172,2022-07-13,True,Normal
29,Pablo,Torres Moreno,Hombre,39,Salamanca,Salamanca,34629,2023-12-04,True,Normal
30,Carlos,Gómez López,Hombre,60,Málaga,Málaga,43043,2024-03-12,True,Frecuente
31,Miguel,Torres Ortega,Hombre,54,Zaragoza,Zaragoza,18033,2024-07-30,True,Normal
32,Sofía,Ortega Álvarez,Hombre,78,Barcelona,Barcelona,37902,2023-02-18,True,Frecuente
33,Alejandro,Jiménez Romero,Hombre,50,Vigo,Pontevedra,45571,2024-06-28,True,Frecuente
34,Jorge,Torres Álvarez,Hombre,73,Málaga,Málaga,16408,2022-07-07,False,Ocasional
35,Álvaro,Ortega Gómez,Mujer,20,Málaga,Málaga,18420,2022-02-14,True,Ocasional
36,Miguel,Martín Torres,Mujer,80,Logroño,La Rioja,17351,2022-03-24,False,Ocasional
37,Claudia,Torres Moreno,Mujer,71,Barcelona,Barcelona,05131,2022-12-24,False,Normal
38,María,Gómez Ortega,Mujer,36,Bilbao,Bizkaia,52300,2024-12-25,True,Frecuente
39,Lucía,García Martínez,Hombre,40,Málaga,Málaga,45825,2024-07-24,False,Normal
40,Elena,Muñoz Jiménez,Hombre,46,Gijón,Asturias,12349,2023-01-10,True,Normal
41,Carmen,Castro Pérez,Mujer,47,Madrid,Madrid,45254,2022-06-11,True,Frecuente
42,María,Castro Navarro,Mujer,56,Bilbao,Bizkaia,39225,2022-11-18,True,Normal
43,Alejandro,Torres Fernández,Hombre,61,A Coruña,A Coruña,39847,2023-03-26,False,Frecuente
44,Javier,Muñoz Martín,Mujer,64,Barcelona,Barcelona,13453,2024-11-02,True,Ocasional
45,Rubén,Navarro Díaz,Mujer,42,Logroño,La Rioja,19814,2022-07-03,True,Normal
46,Marta,Martín Muñoz,Mujer,54,Salamanca,Salamanca,19263,2022-04-21,False,Normal
47,Miguel,Castro Torres,Mujer,64,Vigo,Pontevedra,13158,2023-05-23,True,Normal
48,Laura,Vázquez Martín,Hombre,25,Burgos,Burgos,16735,2022-10-22,True,Normal
49,Laura,García Vázquez,Mujer,59,Zaragoza,Zaragoza,16830,2024-06-22,True,Normal
50,Marta,Álvarez Vázquez,Mujer,75,Gijón,Asturias,48893,2024-08-31,False,Frecuente
51,Carmen,Castro Álvarez,Hombre,33,León,León,45673,2023-09-24,False,Ocasional
52,Alejandro,Romero Romero,Hombre,25,Sevilla,Sevilla,24926,2024-11-16,True,Normal
53,Rubén,Vázquez Pérez,Mujer,18,Málaga,Málaga,46066,2024-01-03,True,Ocasional
54,Laura,Fernández Díaz,Hombre,61,Zaragoza,Zaragoza,35779,2022-11-17,True,Ocasional
55,Alejandro,Torres Muñoz,Mujer,22,Vigo,Pontevedra,04373,2024-07-01,False,Normal
56,Laura,Vázquez García,Mujer,20,Bilbao,Bizkaia,11335,2023-03-13,True,Ocasional
57,Andrea,Pérez Pérez,Hombre,18,Madrid,Madrid,24741,2024-02-20,True,Frecuente
58,Andrea,Castro Jiménez,Mujer,21,A Coruña,A Coruña,11692,2024-12-12,True,Frecuente
